REPORTED_WKLY_SPEND,REPORTED_WKLY_SPEND_USF,REPORTED_WKLY_SPEND_COMPETITOR_1,REPORTED_COP_SPEND,REPORTED_PRODUCE_SPEND,SMALL_QTY_RANK,DEL_FLEX_RANK,CUT_TIME_RANK,CUST_NBR,DIV_NBR,PYR_SEG_CD
1632.789038,192.7890385,655,1041.25,275,7,6,3,139344,26,Independent Restaurant
10863.87962,1463.879615,2400,4380,3180,7,5,3,139718,25,Independent Restaurant
5961.203462,1261.203462,800,2360,1690,7,4,9,114224,12,Independent Restaurant
2632.960385,1032.960385,100,310,1000,7,9,5,143682,50,Retail
1098.989423,348.9894231,0,308,211,7,5,8,91891,33,Independent Restaurant
3439.467885,539.4678846,550,930,55,7,6,9,9746,29,Independent Restaurant
606.2001923,156.2001923,0,0,765,7,5,6,57262,68,Independent Restaurant
423.6298077,403.6298077,0,36,4,7,4,3,39940,59,Hospitality
8206.993269,8205.993269,0,0.7,1,7,4,5,24065,8,Independent Restaurant
864.1582692,114.1582692,750,150,0,7,8,9,75354,54,Other
10267.76387,7225.463462,3042.300405,3384.5592,3688.789241,8,6,10,98029,31,Independent Restaurant
9759.557837,5576.890192,836.5335288,2356.236106,2398.062783,8,1,7,2996,46,Hospitality
3796.589663,3037.271731,0,911.1815192,911.1815192,8,5,10,109327,46,Hospitality
2522.445877,2472.986154,49.45972308,247.2986154,741.8958462,8,5,7,124209,23,Retail
492.82315,464.9275,0,281.746065,145.05738,8,9,10,139290,1,Independent Restaurant
492.82315,464.9275,0,281.746065,145.05738,8,9,10,139290,1,Independent Restaurant
17160.27192,14360.27192,200,9900,5400,8,7,6,136382,62,Independent Restaurant
75001,1,75000,87500,43750,8,6,7,154766,37,Independent Restaurant
36761.72731,6761.727308,10000,41500,1550,8,5,4,126245,13,Retail
21249.23019,14749.23019,5000,6650,9250,8,6,7,27230,27,Independent Restaurant
29723.40481,4723.404808,9000,15400,0,8,1,9,53167,9,Independent Restaurant
49495.88885,4495.888846,17000,16850,18550,8,6,2,68000,11,Independent Restaurant
17721.57385,8721.573846,0,8400,900,8,6,9,135544,8,Education
2398.0325,848.0325,0,2805,3355,8,3,7,76205,15,Independent Restaurant
2398.0325,848.0325,0,2805,3355,8,3,7,76205,15,Independent Restaurant
21000.25077,2000.250769,10000,9500,3000,8,2,1,77232,32,Retail
17690.41019,5190.410192,0,2100,7300,8,7,6,87753,6,Education
6879.206346,4479.206346,1200,3600,720,8,2,10,141114,2,Education
8910.166346,2410.166346,2000,2200,1550,8,4,7,137083,42,Hospitality
9450.114615,950.1146154,5000,5950,4600,8,4,6,100246,23,Hospitality
6757.43,3857.43,1500,2250,225,8,10,9,13467,61,Independent Restaurant
17492.45981,3492.459808,1000,5750,3125,8,5,6,61607,47,Other
9239.247692,1739.247692,7500,4500,1500,8,7,9,104313,66,Regional
6566.909423,2766.909423,800,400,400,8,9,10,102715,16,Independent Restaurant
